Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Regular price,Categories,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible
simple,maasai-beaded-fringe-collar,Maasai Beaded Fringe Collar,1,1,visible,"Glass seed beads, brass fittings","A rope-style beaded collar finished with brass end caps, falling into a deep curtain of fringe. The strands change colour along their length, so the piece reads as one tone at the neck and another at the hem.",1,,Necklaces,"https://mekubalafrica.co.ke/wp-content/uploads/mekubal/maasai-beaded-fringe-collar-1.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/maasai-beaded-fringe-collar-2.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/maasai-beaded-fringe-collar-3.webp",Finish,Silver / Multicolour | Cream | Charcoal,1
simple,beaded-net-cape-collar,Beaded Net Cape Collar,1,1,visible,"Glass seed beads, metal drops","A wide beaded cape worked in open diamond mesh, filled with bands of accent colour and finished with a long pointed fringe. Sits over the shoulders rather than at the throat.",1,,Necklaces,"https://mekubalafrica.co.ke/wp-content/uploads/mekubal/beaded-net-cape-collar-1.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/beaded-net-cape-collar-2.webp",Finish,Rainbow band | Black lattice,1
simple,beaded-torsade-rope-necklace,Beaded Torsade Rope Necklace,1,1,visible,"Pearlised seed beads, coiled brass","Multi-strand torsade of pearlised seed beads twisted into a single thick braid, finished with coiled brass wire end caps and a hook clasp.",1,,Necklaces,"https://mekubalafrica.co.ke/wp-content/uploads/mekubal/beaded-torsade-rope-necklace-1.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/beaded-torsade-rope-necklace-2.webp",Finish,Silver,1
simple,maasai-beaded-medallion-necklace,Maasai Beaded Medallion Necklace,1,1,visible,"Glass seed beads, brass end caps","Beaded rope necklace blocked with bands of contrasting colour and hung with two flat circular beaded medallions, finished with brass end caps.",1,,Necklaces,https://mekubalafrica.co.ke/wp-content/uploads/mekubal/maasai-beaded-medallion-necklace-1.webp,Finish,Orange,1
simple,graduated-wooden-bead-necklace,Graduated Wooden Bead Necklace,1,1,visible,Dyed wooden beads,"Round wooden beads graded from small at the nape to bold spheres at the front. Each strand is dyed and polished by hand, so tone varies slightly between pieces.",1,,Necklaces,"https://mekubalafrica.co.ke/wp-content/uploads/mekubal/graduated-wooden-bead-necklace-1.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/graduated-wooden-bead-necklace-2.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/graduated-wooden-bead-necklace-3.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/graduated-wooden-bead-necklace-4.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/graduated-wooden-bead-necklace-5.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/graduated-wooden-bead-necklace-6.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/graduated-wooden-bead-necklace-7.webp",Finish,Red | Orange | Teal | Yellow | Multicolour | Natural,1
simple,graduated-ceramic-bead-necklace,Graduated Ceramic Bead Necklace,1,1,visible,"Glazed ceramic beads, waxed cord","Glazed ceramic beads graded toward the centre front and strung on knotted cord with a sliding closure, so the length adjusts to the wearer.",1,,Necklaces,"https://mekubalafrica.co.ke/wp-content/uploads/mekubal/graduated-ceramic-bead-necklace-1.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/graduated-ceramic-bead-necklace-2.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/graduated-ceramic-bead-necklace-3.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/graduated-ceramic-bead-necklace-4.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/graduated-ceramic-bead-necklace-5.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/graduated-ceramic-bead-necklace-6.webp",Finish,Cream | Black | Grey | Pink | Olive | Blue | Red | Yellow | Teal,1
simple,maasai-beaded-leather-cuff,Maasai Beaded Leather Cuff,1,0,visible,Glass seed beads on leather,"Wide leather-backed cuff, beaded by hand and lined in dark suede with metal snap fasteners. Patterns run from flag stripes to concentric eyes and swirls, and rotate with what the beaders are making.",1,,Bracelets & Cuffs,"https://mekubalafrica.co.ke/wp-content/uploads/mekubal/maasai-beaded-leather-cuff-1.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/maasai-beaded-leather-cuff-2.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/maasai-beaded-leather-cuff-3.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/maasai-beaded-leather-cuff-4.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/maasai-beaded-leather-cuff-5.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/maasai-beaded-leather-cuff-6.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/maasai-beaded-leather-cuff-7.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/maasai-beaded-leather-cuff-8.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/maasai-beaded-leather-cuff-9.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/maasai-beaded-leather-cuff-10.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/maasai-beaded-leather-cuff-11.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/maasai-beaded-leather-cuff-12.webp",Finish,Kenyan Flag | Swirl | Concentric Eye | Assorted pattern,1
simple,beaded-wire-basket,Beaded Wire Basket,1,0,visible,"Glass seed beads, coiled wire","Lidded basket built by threading glass beads onto wire and coiling them into shape by hand. Used for jewellery, trinkets and small keepsakes.",1,,Beaded Baskets,"https://mekubalafrica.co.ke/wp-content/uploads/mekubal/beaded-wire-basket-1.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/beaded-wire-basket-2.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/beaded-wire-basket-3.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/beaded-wire-basket-4.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/beaded-wire-basket-5.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/beaded-wire-basket-6.webp",Finish,Gold | Black & Gold | Silver | Navy Speckle,1
simple,beaded-wire-trinket-pot,Beaded Wire Trinket Pot,1,0,visible,"Iridescent glass beads, coiled wire","Small coiled pot in iridescent beads speckled with colour, its lid topped with a looped beaded bow. Sits in the palm of a hand.",1,,Beaded Baskets,https://mekubalafrica.co.ke/wp-content/uploads/mekubal/beaded-wire-trinket-pot-1.webp,Finish,Bronze,1
simple,maasai-beaded-leather-coasters,Maasai Beaded Leather Coasters,1,0,visible,"Coiled seed beads, plaited leather","Coasters of coiled seed beads set into leather discs with plaited leather edging, worked in concentric rings and spirals.",1,,Table & Home,"https://mekubalafrica.co.ke/wp-content/uploads/mekubal/maasai-beaded-leather-coasters-1.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/maasai-beaded-leather-coasters-2.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/maasai-beaded-leather-coasters-3.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/maasai-beaded-leather-coasters-4.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/maasai-beaded-leather-coasters-5.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/maasai-beaded-leather-coasters-6.webp",Finish,Red & Gold | Black & White | Brown & Gold | Blue Spiral,1
simple,fringed-sisal-placemat,Fringed Sisal Placemat,1,0,visible,Woven sisal,"Round woven sisal placemat with a long shaggy fringe, in natural and dyed colourways with concentric banding.",1,,Table & Home,"https://mekubalafrica.co.ke/wp-content/uploads/mekubal/fringed-sisal-placemat-1.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/fringed-sisal-placemat-2.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/fringed-sisal-placemat-3.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/fringed-sisal-placemat-4.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/fringed-sisal-placemat-5.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/fringed-sisal-placemat-6.webp",Finish,Natural | Grey | Orange | Yellow | Pink,1
simple,woven-sisal-bowls,Woven Sisal Bowls,1,0,visible,"Woven sisal, glass beads","Nested woven sisal bowls, either trimmed at the rim with seed beads or banded in dyed fibre. Sold as a nesting set.",1,,Table & Home,"https://mekubalafrica.co.ke/wp-content/uploads/mekubal/woven-sisal-bowls-1.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/woven-sisal-bowls-2.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/woven-sisal-bowls-3.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/woven-sisal-bowls-4.webp",Finish,Beaded rim | Green banded,1
simple,hammered-brass-earrings,Hammered Brass Earrings,1,0,visible,Hammered brass,"Hand-hammered brass earrings in ankh, Africa, comb, hoop, spiral, triangle and leaf shapes. Shapes rotate with what is in stock.",1,,Earrings,"https://mekubalafrica.co.ke/wp-content/uploads/mekubal/hammered-brass-earrings-1.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/hammered-brass-earrings-2.webp",Finish,Assorted shape,1
simple,beaded-cowrie-shell-earrings,Beaded & Cowrie Shell Earrings,1,0,visible,"Glass beads, cowrie shell, leather, wood","Beaded hoops, tassels, cowrie shells, leather teardrops and carved wooden shapes. Styles rotate; ask us what is in stock.",1,,Earrings,"https://mekubalafrica.co.ke/wp-content/uploads/mekubal/beaded-cowrie-shell-earrings-1.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/beaded-cowrie-shell-earrings-2.webp",Finish,Assorted style,1
simple,brass-bangles-cuffs,Brass Bangles & Cuffs,1,0,visible,Brass,"Hammered, twisted-wire and spiral brass bangles and open cuffs, worn singly or stacked. Finishes vary between pieces as each is worked by hand.",1,,Metal Jewellery,"https://mekubalafrica.co.ke/wp-content/uploads/mekubal/brass-bangles-cuffs-1.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/brass-bangles-cuffs-2.webp",Finish,Hammered | Twisted wire | Spiral | Wide cuff,1
simple,horn-resin-bangles,Horn & Resin Bangles,1,0,visible,"Polished horn, bone, resin","Smooth bangles turned from horn and bone in natural browns and creams, alongside solid resin bangles in bright colours.",1,,Metal Jewellery,"https://mekubalafrica.co.ke/wp-content/uploads/mekubal/horn-resin-bangles-1.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/horn-resin-bangles-2.webp",Finish,Horn | Bone | Resin — assorted colour,1
simple,brass-collar-necklace,Brass Collar Necklace,1,0,visible,"Polished brass, wire","Statement neckpiece in polished brass — a smooth crescent collar, or layered wire coiled into a torque.",1,,Metal Jewellery,"https://mekubalafrica.co.ke/wp-content/uploads/mekubal/brass-collar-necklace-1.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/brass-collar-necklace-2.webp",Finish,Crescent collar | Layered wire,1
simple,beaded-belt,Beaded Belt,1,0,visible,Glass seed beads on leather,"Long beaded belt worked in vertical strands of colour on a leather backing, fastening with a beaded tab.",1,,Belts & Bands,"https://mekubalafrica.co.ke/wp-content/uploads/mekubal/beaded-belt-1.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/beaded-belt-2.webp",Finish,Multicolour | Rainbow stripe,1
simple,flat-beaded-band,Flat Beaded Band,1,0,visible,Glass seed beads,"Flat woven band of seed beads, worn on the wrist or upper arm. Woven in flag stripes and geometric repeats.",1,,Belts & Bands,"https://mekubalafrica.co.ke/wp-content/uploads/mekubal/flat-beaded-band-1.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/flat-beaded-band-2.webp",Finish,Kenyan flag | Assorted stripe,1
simple,carved-gourd,Carved Gourd,1,0,visible,"Gourd, dyed and incised","Dried gourd dyed deep red and incised with giraffe and wildlife motifs, finished with a fitted lid.",1,,Souvenirs & Curios,"https://mekubalafrica.co.ke/wp-content/uploads/mekubal/carved-gourd-1.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/carved-gourd-2.webp",Finish,"Red, assorted motif",1
simple,leather-wallets-card-holders,Leather Wallets & Card Holders,1,0,visible,Stitched leather,"Hand-stitched leather wallets and card holders, some tooled with African motifs.",1,,Souvenirs & Curios,"https://mekubalafrica.co.ke/wp-content/uploads/mekubal/leather-wallets-card-holders-1.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/leather-wallets-card-holders-2.webp",Finish,Wallet | Card holder,1
simple,banana-fibre-wall-art,Banana Fibre Wall Art,1,0,visible,"Banana fibre, board","Framed pictures built up from layered banana fibre and bark, showing village and wildlife scenes.",1,,Souvenirs & Curios,"https://mekubalafrica.co.ke/wp-content/uploads/mekubal/banana-fibre-wall-art-1.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/banana-fibre-wall-art-2.webp",Finish,Assorted scene,1
simple,african-print-fabric-fan,African Print Fabric Fan,1,0,visible,"Printed cotton, wood","Folding hand fan in printed cotton on a wooden frame, in assorted African prints.",1,,Souvenirs & Curios,"https://mekubalafrica.co.ke/wp-content/uploads/mekubal/african-print-fabric-fan-1.webp, https://mekubalafrica.co.ke/wp-content/uploads/mekubal/african-print-fabric-fan-2.webp",Finish,Assorted print,1
